id,Author_Name,Fact_Check_Source,Source_Type,Statement,Eng_Trans_Statement,News Body,Eng_Trans_News_Body,Media_Link,Publish_Date,Fact_Check_Link,News_Category,Language,Region,Platform,Text,Video,Image,Label,publish_date_parsed,pub_year,pub_month,pub_dayofweek,Eng_Trans_News_Body_polarity,Eng_Trans_News_Body_subjectivity,Eng_Trans_Statement_wordcount,Eng_Trans_News_Body_wordcount,Statement_wordcount,News Body_wordcount,Text_flag,Video_flag,Image_flag,label_numeric
BFNK_1,Shinjinee Majumder,Alt News,IFCN,फ़ैक्ट-चेक: तेलंगाना में एक रिपोर्टर ने गृह मंत्री अमित शाह की बोलती बंद कर दी?,Fact-check: A reporter in Telangana stopped speaking to Home Minister Amit Shah?,सोशल मीडिया पर एक वीडियो वायरल है जिसमें एक पत्रकार को गृह मंत्री अमित शाह से सवाल करते हुए देखा जा सकता है. वीडियो में पत्रकार अमित शाह से पूछता…,"A video is viral on social media in which a journalist can be seen questioning Home Minister Amit Shah. In the video, journalist asked Amit Shah…",https://i0.wp.com/www.altnews.in/Hindi/wp-content/uploads/sites/2/2022/07/amit-shah-FI.jpg?resize=300%2C169&ssl=1,9th July 2022,https://www.altnews.in/Hindi/fact-check-was-amit-shah-left-tongue-tied-by-a-reporter-in-telangana/,Politics,Hindi,Telangana,Twitter,no,yes,no,0,2022-07-09,2022.0,7.0,Saturday,0.03333333333333333,0.06666666666666667,12,26,15,30,0,1,0,0
BFNK_2,Kalim Ahmed,Alt News,IFCN,PM मोदी को UAE का सर्वोच्च नागरिक सम्मान मिलने का पुराना वीडियो हाल का बताकर शेयर,Share by stating the old video of PM Modi's highest civilian honor of UAE,प्रधानमंत्री नरेंद्र मोदी को सोने की चेन से सम्मानित किए जाने की एक वीडियो सोशल मीडिया पर वायरल हुआ है. दावा किया जा रहा है कि “अरब के सुल्तान” ने…,"A video of Prime Minister Narendra Modi being honored with a gold chain has gone viral on social media. It is being claimed that ""Sultan of Arabia""…",https://i0.wp.com/www.altnews.in/Hindi/wp-content/uploads/sites/2/2022/07/Copy-of-FI-Template-25.jpg?resize=300%2C169&ssl=1,9th July 2022,https://www.altnews.in/Hindi/old-video-of-pm-modi-awarded-uaes-highest-civil-honour-shared-amid-nupur-sharma-row/,Politics,Hindi,National,Twitter,no,yes,no,0,2022-07-09,2022.0,7.0,Saturday,0.03333333333333333,0.06666666666666667,14,27,16,30,0,1,0,0
BFNK_3,Abhishek Kumar,Alt News,IFCN,"वायरल तस्वीर में सुप्रीम कोर्ट के जज सूर्यकांत और जे बी पारदीवाला नहीं हैं, ग़लत दावा","Supreme Court judges Suryakant and JB Pardiwala are not in viral picture, wrong claim",बीते दिनों नूपुर शर्मा ने टीवी डिबेट में पैगम्बर मोहम्मद पर आपत्तिजनक टिपण्णी की थी जिसके बाद देशभर में आक्रोश का माहौल रहा. देश के कई हिस्सों में नूपुर शर्मा…,"Recently, Nupur Sharma made an objectionable comment on Prophet Mohammed in the TV debate, after which there was an atmosphere of resentment across the country. Nupur Sharma in many parts of the country…",https://i0.wp.com/www.altnews.in/Hindi/wp-content/uploads/sites/2/2022/07/Untitled-design-21.jpg?resize=300%2C157&ssl=1,7th July 2022,https://www.altnews.in/Hindi/false-claim-with-viral-image-ndtv-ndtv-prannoy-roy-radhika-roy-brinda-karat-n-ram-justice-pardiwala-surya-kant/,Politics,Hindi,National,Twitter,no,no,yes,0,2022-07-07,2022.0,7.0,Thursday,0.25,0.375,14,33,16,30,0,0,1,0
BFNK_4,Abhishek Kumar,Alt News,IFCN,मीडिया ने दी ग़लत ख़बर: कटनी में मुस्लिम सरपंच की जीत के बाद ‘पाकिस्तान ज़िंदाबाद’ के नारे लगे,"Media gave wrong news: After the victory of Muslim sarpanch in Katni, slogans of 'Pakistan Zindabad' were raised",एक वीडियो सोशल मीडिया पर वायरल है. इसे शेयर करते हुए दावा किया जा रहा है कि मध्यप्रदेश के कटनी में मुस्लिम सरपंच की जीत के बाद पाकिस्तान ज़िंदाबाद के…,"A video is viral on social media. While sharing this, it is being claimed that after the victory of Muslim sarpanch in Katni, Madhya Pradesh, Pakistan is of Zindabad…",https://i0.wp.com/www.altnews.in/Hindi/wp-content/uploads/sites/2/2022/07/Untitled-design-19.jpg?resize=300%2C157&ssl=1,5th July 2022,https://www.altnews.in/Hindi/media-misreport-pakistan-zindabad-slogan-raised-in-katni-madhya-pradesh-panchayat-election-fact-check/,Politics,Hindi,Madhya Pradesh,Twitter,no,no,yes,0,2022-07-05,2022.0,7.0,Tuesday,0.03333333333333333,0.06666666666666667,18,29,18,30,0,0,1,0
BFNK_5,Kinjal,Alt News,IFCN,महिला ने राहुल गांधी को कश्मीर मुद्दे पर मोदी सरकार का विरोध करने के लिए आड़े हाथों लिया?,The woman lashed out at Rahul Gandhi to oppose the Modi government on the Kashmir issue?,सोशल मीडिया पर राहुल गांधी का एक वीडियो वायरल हुआ है. वीडियो में राहुल गांधी में बैठे हैं जहां एक महिला उनसे सवाल पूछ रही है. ये महिला कहती है:…,"A video of Rahul Gandhi has gone viral on social media. In the video, Rahul is sitting in Gandhi where a woman is asking him questions. This woman says:…",https://i0.wp.com/www.altnews.in/Hindi/wp-content/uploads/sites/2/2022/07/Copy-of-FI-Template-3.jpg?resize=300%2C169&ssl=1,4th July 2022,https://www.altnews.in/Hindi/2019-video-of-woman-narrating-plight-of-kashmiris-to-rahul-gandhi-shared-again-with-false-claim/,Politics,Hindi,Kashmir,Twitter,no,yes,no,1,2022-07-04,2022.0,7.0,Monday,0.03333333333333333,0.06666666666666667,16,29,18,30,0,1,0,1
BFNK_6,Abhishek Kumar,Alt News,IFCN,ज़ी न्यूज़ का ग़लत दावा कि राहुल गांधी ने उदयपुर हत्याकांड के आरोपियों को ‘बच्चा’ कहा,Zee News's wrong claim that Rahul Gandhi called the accused in the Udaipur murder case 'child',बीते दिनों राजस्थान के उदयपुर में दो मुस्लिम व्यक्तियों ने टेलर कन्हैया लाल की दुकान में घुसकर बेरहमी से हत्या कर दी. पुलिस ने दोनों आरिपियों को राजसमंद ज़िले के…,"Recently, two Muslim persons entered Taylor Kanhaiya Lal's shop in Udaipur, Rajasthan and brutally murdered. The police gave both the Aralapians of Rajsamand district…",https://i0.wp.com/www.altnews.in/Hindi/wp-content/uploads/sites/2/2022/07/Untitled-design-17.jpg?resize=300%2C157&ssl=1,2nd July 2022,https://www.altnews.in/Hindi/zee-news-and-bjp-leaders-shared-fake-news-that-rahul-gandhi-called-udaipur-killers-children/,Politics,Hindi,Rajasthan,Twitter,no,yes,no,0,2022-07-02,2022.0,7.0,Saturday,-0.4375,0.625,16,24,16,30,0,1,0,0
BFNK_7,Kalim Ahmed,Alt News,IFCN,ग्रेटा थनबर्ग पर निशाना साधते हुए ग्लास्टनबरी फ़ेस्टिवल के बाद फ़ैले कचरे की पुरानी तस्वीरें शेयर,Share old photos of garbage spread after Glastonbury Festival targeting Gita Thanburg," इंग्लैंड के समरसेट में हर साल पांच दिवसीय परफ़ॉर्मिंग आर्ट्स फ़ेस्टिवल, ग्लास्टनबरी फ़ेस्टिवल आयोजित होता है. इस फेस्टिवल से जोड़कर कचरे से भरे मैदान की तस्वीरें शेयर की जा रही… "," A five -day performing Arts Festival, Glastonbury Festival is held every year in the Samarset, England. Pictures of the ground -filled ground are being shared by connecting with this festival…",https://i0.wp.com/www.altnews.in/Hindi/wp-content/uploads/sites/2/2022/06/Copy-of-FI-Template-21.jpg?resize=300%2C169&ssl=1,30th June 2022,https://www.altnews.in/Hindi/old-photos-of-trash-at-glastonbury-festival-shared-to-target-greta-thunberg/,Politics,Hindi,India,Twitter,no,no,yes,1,2022-06-30,2022.0,6.0,Thursday,0.4,0.9,12,30,16,30,0,0,1,1
BFNK_8,Abhishek Kumar,Alt News,IFCN,कागज़ों पर किराड़ी में 458 बेड का अस्पताल 2020 तक बन चुका लेकिन ज़मीन पर नहीं?,A 458 -bed hospital in Kiradi on paper was built by 2020 but not on the ground?,बीते दिनों भाजपा नेता व सांसद मनोज तिवारी और दिल्ली के भाजपा प्रदेश अध्यक्ष आदेश गुप्ता ने कई मीडियकर्मियों के साथ दिल्ली के किराड़ी विधानसभा में मौजूद एक अस्पताल के…,"Recently, BJP leader and MP Manoj Tiwari and BJP state president Adesh Gupta along with many media workers in a hospital in Kiradi Assembly of Delhi…",https://i0.wp.com/www.altnews.in/Hindi/wp-content/uploads/sites/2/2022/06/delhi-tender.jpg?resize=300%2C157&ssl=1,5th June 2022,https://www.altnews.in/Hindi/delhi-kirari-458-bed-hospital-made-by-2020-false-claim-by-manoj-tiwari/,Politics,Hindi,Delhi,Twitter,no,yes,no,1,2022-06-05,2022.0,6.0,Sunday,0.25,0.375,17,26,16,30,0,1,0,1
BFNK_9,Kalim Ahmed & Abhishek Kumar,Alt News,IFCN,पंजाब के मुख्यमंत्री भगवंत मान ने एक रैली के दौरान लोगों से बहस की?,Punjab Chief Minister Bhagwant Mann argued with people during a rally?,सोशल मीडिया पर एक वीडियो क्लिप काफी तेजी से वायरल हो रही है. वीडियो में आम आदमी पार्टी के नेता भगवंत मान कुछ लोगों के साथ बहस करते हुए दिख…,"A video clip on social media is becoming very fast viral. In the video, Aam Aadmi Party leader Bhagwant Mann was seen arguing with some people…",https://i0.wp.com/www.altnews.in/Hindi/wp-content/uploads/sites/2/2022/06/Untitled-design1.jpg?resize=300%2C169&ssl=1,24th June 2022,https://www.altnews.in/Hindi/this-video-of-bhagwant-mann-chiding-people-at-a-rally-is-old/,Politics,Hindi,Punjab,Twitter,no,yes,no,1,2022-06-24,2022.0,6.0,Friday,0.2477777777777778,0.5655555555555556,11,26,14,30,0,1,0,1
BFNK_10,Abhishek Kumar,Alt News,IFCN,"आदित्य ठाकरे ने ट्विटर बायो से ‘मंत्री’ शब्द हटा दिया? मीडिया, पत्रकारों का ग़लत दावा","Aditya Thackeray removed the word 'Minister' from Twitter Bio? Media, journalists wrong claims"," विधायक एकनाथ शिंदे के नेतृत्व में कुछ असंतुष्ट शिवसेना नेताओं की वजह से महाराष्ट्र में राजनीतिक हलचल शुरू हुई. इस दौरान, कई मीडिया संगठन और भाजपा नेताओं ने दावा किया… "," A political stir started in Maharashtra due to some disgruntled Shiv Sena leaders led by MLA Eknath Shinde. During this time, many media organizations and BJP leaders claimed…",https://i0.wp.com/www.altnews.in/Hindi/wp-content/uploads/sites/2/2022/06/No-Aaditya-Thackeray-did-not-remove-the-word-minister-from-his-Twitter-bio.-3.jpg?resize=300%2C157&ssl=1,23rd June 2022,https://www.altnews.in/Hindi/did-aaditya-thackeray-remove-minister-from-twitter-bio-false-claim-by-media-bjp-leaders/,Politics,Hindi,Maharashtra,Twitter,no,no,yes,1,2022-06-23,2022.0,6.0,Thursday,0.125,0.325,13,28,15,30,0,0,1,1
